MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.16
100.0 35.0 0.23
100.0 65.0 0.15
100.0 80.0 0.14
110.0 90.0 0.29
112.5 12.5 0.15
112.5 47.5 0.29
117.5 82.5 0.41
130.0 30.0 0.23
132.5 67.5 0.21
135.0 115.0 0.20
142.5 107.5 0.23
150.0 0.0 0.21
150.0 50.0 0.16
155.0 5.0 0.19
157.5 92.5 0.28
175.0 25.0 0.18
175.0 75.0 0.15
192.5 157.5 0.19
200.0 50.0 0.24
207.5 142.5 0.23
225.0 125.0 0.18
250.0 0.0 0.15
250.0 100.0 0.15
267.5 232.5 0.84
282.5 217.5 0.17
