MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.23
100.0 35.0 0.19
100.0 65.0 0.17
100.0 80.0 0.19
110.0 90.0 0.23
112.5 12.5 0.19
112.5 47.5 0.28
117.5 82.5 0.21
130.0 30.0 0.24
132.5 67.5 0.22
135.0 115.0 0.17
142.5 107.5 0.35
150.0 0.0 0.39
150.0 50.0 0.27
155.0 5.0 0.14
157.5 92.5 0.41
175.0 25.0 3.50
175.0 75.0 0.15
192.5 157.5 0.18
200.0 50.0 1.32
207.5 142.5 0.22
225.0 125.0 0.20
250.0 0.0 0.81
250.0 100.0 0.13
267.5 232.5 0.21
282.5 217.5 0.25
