MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.17
100.0 35.0 0.25
100.0 65.0 0.17
100.0 80.0 0.23
110.0 90.0 0.17
112.5 12.5 0.21
112.5 47.5 0.25
117.5 82.5 0.20
130.0 30.0 0.22
132.5 67.5 0.25
135.0 115.0 0.19
142.5 107.5 0.22
150.0 0.0 0.49
150.0 50.0 0.33
155.0 5.0 0.74
157.5 92.5 0.61
175.0 25.0 0.50
175.0 75.0 0.19
192.5 157.5 0.23
200.0 50.0 0.24
207.5 142.5 0.15
225.0 125.0 0.30
250.0 0.0 0.18
250.0 100.0 0.20
267.5 232.5 0.20
282.5 217.5 0.16
