MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.14
100.0 35.0 0.19
100.0 65.0 0.18
100.0 80.0 0.21
110.0 90.0 0.17
112.5 12.5 0.15
112.5 47.5 0.19
117.5 82.5 0.15
130.0 30.0 0.20
132.5 67.5 0.16
135.0 115.0 0.14
142.5 107.5 0.17
150.0 0.0 0.18
150.0 50.0 0.17
155.0 5.0 0.15
157.5 92.5 0.32
175.0 25.0 0.24
175.0 75.0 0.30
192.5 157.5 0.18
200.0 50.0 0.14
207.5 142.5 0.15
225.0 125.0 0.24
250.0 0.0 0.18
250.0 100.0 0.18
267.5 232.5 0.16
282.5 217.5 0.17
