MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.14
100.0 35.0 0.16
100.0 65.0 0.18
100.0 80.0 0.23
110.0 90.0 0.19
112.5 12.5 0.16
112.5 47.5 0.20
117.5 82.5 0.14
130.0 30.0 0.25
132.5 67.5 0.17
135.0 115.0 0.15
142.5 107.5 0.19
150.0 0.0 0.14
150.0 50.0 0.30
155.0 5.0 0.29
157.5 92.5 0.47
175.0 25.0 0.10
175.0 75.0 0.69
192.5 157.5 0.29
200.0 50.0 0.15
207.5 142.5 0.17
225.0 125.0 0.34
250.0 0.0 0.43
250.0 100.0 0.26
267.5 232.5 0.18
282.5 217.5 0.27
