MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.13
100.0 35.0 0.16
100.0 65.0 0.17
100.0 80.0 0.20
110.0 90.0 0.19
112.5 12.5 0.16
112.5 47.5 0.21
117.5 82.5 0.15
130.0 30.0 0.23
132.5 67.5 0.16
135.0 115.0 0.15
142.5 107.5 0.22
150.0 0.0 0.24
150.0 50.0 0.23
155.0 5.0 0.23
157.5 92.5 0.36
175.0 25.0 0.15
175.0 75.0 0.36
192.5 157.5 0.19
200.0 50.0 0.42
207.5 142.5 0.16
225.0 125.0 0.20
250.0 0.0 0.41
250.0 100.0 0.15
267.5 232.5 0.18
282.5 217.5 0.22
