MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.13
100.0 35.0 0.22
100.0 65.0 0.15
100.0 80.0 0.90
110.0 90.0 0.14
112.5 12.5 0.14
112.5 47.5 0.27
117.5 82.5 0.15
130.0 30.0 0.26
132.5 67.5 0.19
135.0 115.0 0.15
142.5 107.5 0.25
150.0 0.0 0.20
150.0 50.0 0.17
155.0 5.0 0.15
157.5 92.5 0.58
175.0 25.0 0.37
175.0 75.0 0.24
192.5 157.5 0.13
200.0 50.0 0.13
207.5 142.5 0.24
225.0 125.0 0.26
250.0 0.0 0.20
250.0 100.0 0.21
267.5 232.5 0.15
282.5 217.5 0.21
