MC1[GeV] MN1[GeV] SYS
100.0 0.0 0.13
100.0 35.0 0.22
100.0 65.0 0.48
100.0 80.0 0.18
110.0 90.0 0.15
112.5 12.5 0.32
112.5 47.5 0.29
117.5 82.5 0.19
130.0 30.0 0.25
132.5 67.5 0.27
135.0 115.0 0.27
142.5 107.5 0.16
150.0 0.0 0.37
150.0 50.0 0.25
155.0 5.0 0.52
157.5 92.5 0.51
175.0 25.0 1.34
175.0 75.0 0.23
192.5 157.5 0.27
200.0 50.0 0.15
207.5 142.5 0.20
225.0 125.0 0.16
250.0 0.0 0.22
250.0 100.0 0.16
267.5 232.5 0.14
282.5 217.5 0.26
